District,Location
GURDASPUR,Madipur Fatehgarhchuria
GURDASPUR,Malikpur-Pz
GURDASPUR,Maman-Pz
GURDASPUR,Masana-Pz
GURDASPUR,Massit-Pz
GURDASPUR,Mirza Jaan-Pz
GURDASPUR,Nangal-Pz
GURDASPUR,Naushera
GURDASPUR,Pandoritalab
GURDASPUR,Parcha-Pz
GURDASPUR,Quaddian -Pz
GURDASPUR,Raipur
GURDASPUR,Saidowal Kalan-DW
GURDASPUR,Saleh Chak-S
GURDASPUR,Salehchak(vs)
GURDASPUR,Sathial-Pz
GURDASPUR,Shahpur-Pz
GURDASPUR,Sohal
GURDASPUR,Tikriwala-Pz
HOSHIARPUR,Aallo Batti-Pz
HOSHIARPUR,Adowal Garhi-Pz
HOSHIARPUR,Argowal-Pz
HOSHIARPUR,Badla-Pz
HOSHIARPUR,Baghora exp well
HOSHIARPUR,Bagpur-Pz
HOSHIARPUR,Baichan-Pz
HOSHIARPUR,Bajwara-Pz
HOSHIARPUR,Barota-PZ
HOSHIARPUR,Bassi Ballo-D
HOSHIARPUR,Bassi Ballo-M
HOSHIARPUR,Bassi Ballo-S
HOSHIARPUR,Bersa
HOSHIARPUR,Bhalowal Gujjran-Pz
HOSHIARPUR,Bhamnaur
HOSHIARPUR,Bhangala-Chhota-DW
HOSHIARPUR,Bhanowal-Pz
HOSHIARPUR,Bhatolian-Pz
HOSHIARPUR,Bhunga-Pz
HOSHIARPUR,Bisu Chak
HOSHIARPUR,Boring-PZ
HOSHIARPUR,Budhi Pind-Pz
HOSHIARPUR,Chak Sheru-DW
HOSHIARPUR,Chohal
HOSHIARPUR,DAGAN-DW
HOSHIARPUR,Dadan-Pz
HOSHIARPUR,Dallewal-Pz
HOSHIARPUR,Dasuya1 (d)
HOSHIARPUR,Dasuya2 (s)
HOSHIARPUR,Dharampur1
HOSHIARPUR,Durimiwal
HOSHIARPUR,Garh Di Wala-Pz
HOSHIARPUR,Garhshankar (s)
HOSHIARPUR,Grahaya-Pz
HOSHIARPUR,Hajipur
HOSHIARPUR,Haler Rampur-DW
HOSHIARPUR,Hazipur
HOSHIARPUR,Heer Beh-PZ
HOSHIARPUR,Hoshiarpur (m)
HOSHIARPUR,Ittian-Pz
HOSHIARPUR,Jahidpur-PZ
HOSHIARPUR,Jalalpur-Pz
HOSHIARPUR,Jattpur-Pz
HOSHIARPUR,Jhir Da Khuh-DW
HOSHIARPUR,Khera
HOSHIARPUR,Khera-Pz
HOSHIARPUR,Mahil Baltohian-Pz
HOSHIARPUR,Mahilpur-Pz
HOSHIARPUR,Mianipur-Pz
HOSHIARPUR,Mukerian Dw
HOSHIARPUR,Naharpur-Pz
HOSHIARPUR,Nangal Bihala- DW
HOSHIARPUR,Nangal Thathal-Pz
HOSHIARPUR,Pan Khuh-DW
HOSHIARPUR,Pandori Mehal-Pz
HOSHIARPUR,Pandori Rai
HOSHIARPUR,Parshote-Pz
HOSHIARPUR,Phuglana- Pz
HOSHIARPUR,Rampur Colony (HSP) pzmedium
HOSHIARPUR,Rampur Colony (HSP) pzshallow
HOSHIARPUR,Rampur Colony(HSP) pz-deep
HOSHIARPUR,Samraj Tanda-DW
HOSHIARPUR,Satnoh-PZ.
HOSHIARPUR,Sham Chaurasi
HOSHIARPUR,Sibo Chak- DW
HOSHIARPUR,Simbli- OW
HOSHIARPUR,Simbli-Pz
HOSHIARPUR,Talwara1
HOSHIARPUR,Talwara2
HOSHIARPUR,Tanda
HOSHIARPUR,Thakarwala
JALANDHAR,Adampur 1(d)
JALANDHAR,Adampur 2(m)
JALANDHAR,Adampur 3(s)
JALANDHAR,Adarman-Pz
JALANDHAR,Akalpur-Pz
JALANDHAR,Allawalpur
JALANDHAR,Bhogpur-Pz
JALANDHAR,Bilga-Pz
JALANDHAR,Billi Chahrami-Pz
JALANDHAR,Chania-Pz
JALANDHAR,Dhanda-Pz
JALANDHAR,Dhirowal-Pz
JALANDHAR,Fateh Jalal-Pz
JALANDHAR,Gehlan-pz
JALANDHAR,Gillian-Pz
JALANDHAR,Goraya- D Pz
JALANDHAR,Goraya-Pz
JALANDHAR,Hardo Sheikh-Pz
JALANDHAR,Idda-Pz
JALANDHAR,Jalandhar-Pz(D)
JALANDHAR,Jalandhar-Pz(M)
JALANDHAR,Jalandhar-Pz(VS)
JALANDHAR,Jalbhe
JALANDHAR,Jandiala-Pz
JALANDHAR,Jandu Singha-Pz
JALANDHAR,Janian-Pz
JALANDHAR,Kakar Kalan-Pz
JALANDHAR,Kala-Pz
JALANDHAR,Kalyanpur-Pz
JALANDHAR,Kang Sahib Rai-Pz
JALANDHAR,Kartarpur 1(d)
JALANDHAR,Kartarpur 2(s)
JALANDHAR,Kharal Kalan Pz- D
JALANDHAR,Kharal Kalan Pz-M
JALANDHAR,Kharal Kalan Pz-S
JALANDHAR,Kot Wadal Khan-Pz
JALANDHAR,Kurla-Pz
JALANDHAR,Lallian kalan Pz-D
JALANDHAR,Lallian kalan Pz-M
JALANDHAR,Lallian kalan Pz-S
JALANDHAR,Mahmuwal-Pz
JALANDHAR,Malsian-D Pz
JALANDHAR,Malsian-M Pz
JALANDHAR,Mehsampur-Pz
JALANDHAR,Nakodar 3(s)
JALANDHAR,Nangal Shaman
JALANDHAR,Nasirpur-Pz
JALANDHAR,Nussi-Pz
JALANDHAR,Pathial-Pz
JALANDHAR,Phillaur 1(d)
JALANDHAR,Phillaur 2(s)
JALANDHAR,Rahimpur-Pz
JALANDHAR,Rurka Kalan- Pz
JALANDHAR,Samarahi-Pz
JALANDHAR,Sarih Pz -D
